name,code,region,month,industrial,total,recidencial
Alaró,7001,07001 Alaró,2017-10-01,3063.6,4159.4,1095.8
Alaró,7001,07001 Alaró,2017-09-01,0,621.7,621.7
Alaró,7001,07001 Alaró,2017-08-01,110.9,401.9,291
Alaró,7001,07001 Alaró,2017-07-01,0,1297.3,1297.3
Alaró,7001,07001 Alaró,2017-06-01,797.7,1649.1,851.4
Alaró,7001,07001 Alaró,2017-05-01,0,922.7,922.7
Alaró,7001,07001 Alaró,2017-04-01,0,325.6,325.6
Alaró,7001,07001 Alaró,2017-03-01,0,319.8,319.8
Alaró,7001,07001 Alaró,2017-02-01,0,116,116
Alaró,7001,07001 Alaró,2017-01-01,0,33.6,33.6
Alaró,7001,07001 Alaró,2016-12-01,0,145.5,71.7
Alaró,7001,07001 Alaró,2016-11-01,0,821.9,821.9
Alaró,7001,07001 Alaró,2016-10-01,0,0,0
Alaró,7001,07001 Alaró,2016-09-01,43.7,589.7,546
Alaró,7001,07001 Alaró,2016-08-01,0,898.7,898.7
Alaró,7001,07001 Alaró,2016-07-01,0,712.3,637.3
Alaró,7001,07001 Alaró,2016-06-01,0,174.6,174.6
Alaró,7001,07001 Alaró,2016-05-01,0,390,390
Alaró,7001,07001 Alaró,2016-04-01,0,388.8,388.8
Alaró,7001,07001 Alaró,2016-03-01,761.5,843.9,82.4
Alaró,7001,07001 Alaró,2016-02-01,1978.3,2008.1,29.8
Alaró,7001,07001 Alaró,2016-01-01,428.4,1179.7,751.3
Alaró,7001,07001 Alaró,2015-12-01,0,783.8,783.8
Alaró,7001,07001 Alaró,2015-11-01,0,149.2,149.2
Alaró,7001,07001 Alaró,2015-10-01,259.1,1352.1,1093
Alaró,7001,07001 Alaró,2015-09-01,0,228,228
Alaró,7001,07001 Alaró,2015-08-01,0,1179.4,1179.4
Alaró,7001,07001 Alaró,2015-07-01,0,265.7,265.7
Alaró,7001,07001 Alaró,2015-06-01,0,1086.5,1086.5
Alaró,7001,07001 Alaró,2015-05-01,0,253.3,253.3
Alaró,7001,07001 Alaró,2015-04-01,0,165.7,165.7
Alaró,7001,07001 Alaró,2015-03-01,0,1255.8,1255.8
Alaró,7001,07001 Alaró,2015-02-01,677.4,1627.4,950
Alaró,7001,07001 Alaró,2015-01-01,0,990.5,990.5
Alaró,7001,07001 Alaró,2014-12-01,0,446.2,446.2
Alaró,7001,07001 Alaró,2014-11-01,0,1332.8,1332.8
Alaró,7001,07001 Alaró,2014-10-01,0,5696.6,5696.6
Alaró,7001,07001 Alaró,2014-09-01,0,381,381
Alaró,7001,07001 Alaró,2014-08-01,0,210.6,210.6
Alaró,7001,07001 Alaró,2014-07-01,0,418,418
Alaró,7001,07001 Alaró,2014-06-01,0,126.1,108.4
Alaró,7001,07001 Alaró,2014-05-01,0,1202.8,1202.8
Alaró,7001,07001 Alaró,2014-04-01,0,891.1,891.1
Alaró,7001,07001 Alaró,2014-03-01,0,36.6,36.6
Alaró,7001,07001 Alaró,2014-02-01,0,0,0
Alaró,7001,07001 Alaró,2014-01-01,0,0,0
Alaró,7001,07001 Alaró,2013-12-01,0,108.2,108.2
Alaró,7001,07001 Alaró,2013-11-01,0,361.2,361.2
Alaró,7001,07001 Alaró,2013-10-01,0,359.7,359.7
Alaró,7001,07001 Alaró,2013-09-01,0,21,0
Alaró,7001,07001 Alaró,2013-08-01,0,0,0
Alaró,7001,07001 Alaró,2013-07-01,0,112.6,112.6
Alaró,7001,07001 Alaró,2013-06-01,0,3426.8,3426.8
Alaró,7001,07001 Alaró,2013-05-01,0,36.3,36.3
Alaró,7001,07001 Alaró,2013-04-01,0,54.4,54.4
Alaró,7001,07001 Alaró,2013-03-01,169.3,203.2,33.9
Alaró,7001,07001 Alaró,2013-02-01,307.6,794.5,486.9
Alaró,7001,07001 Alaró,2013-01-01,0,870.9,870.9
Alaró,7001,07001 Alaró,2012-12-01,0,283.9,225.7
Alaró,7001,07001 Alaró,2012-11-01,0,28,28
Alaró,7001,07001 Alaró,2012-10-01,309.3,618.9,309.6
Alaró,7001,07001 Alaró,2012-09-01,0,728.6,728.6
Alaró,7001,07001 Alaró,2012-08-01,0,128.5,128.5
Alaró,7001,07001 Alaró,2012-07-01,0,0,0
Alaró,7001,07001 Alaró,2012-06-01,0,0,0
Alaró,7001,07001 Alaró,2012-05-01,0,0,0
Alaró,7001,07001 Alaró,2012-04-01,0,100.2,100.2
Alaró,7001,07001 Alaró,2012-03-01,0,0,0
Alaró,7001,07001 Alaró,2012-02-01,0,0,0
Alaró,7001,07001 Alaró,2012-01-01,0,0,0
Alaró,7001,07001 Alaró,2011-12-01,0,29.5,29.5
Alaró,7001,07001 Alaró,2011-11-01,0,731.7,731.7
Alaró,7001,07001 Alaró,2011-10-01,0,193.9,193.9
Alaró,7001,07001 Alaró,2011-09-01,0,687.8,687.8
Alaró,7001,07001 Alaró,2011-08-01,185.3,185.3,0
Alaró,7001,07001 Alaró,2011-07-01,62.8,475.1,412.3
Alaró,7001,07001 Alaró,2011-06-01,34.2,533.6,499.4
Alaró,7001,07001 Alaró,2011-05-01,0,999.3,999.3
Alaró,7001,07001 Alaró,2011-04-01,0,133.2,133.2
Alaró,7001,07001 Alaró,2011-03-01,0,244.5,177.5
Alaró,7001,07001 Alaró,2011-02-01,0,481.9,456.4
Alaró,7001,07001 Alaró,2011-01-01,0,427.8,427.8
Alaró,7001,07001 Alaró,2010-12-01,0,84.3,84.3
Alaró,7001,07001 Alaró,2010-11-01,127.9,181.9,54.1
Alaró,7001,07001 Alaró,2010-10-01,33.5,255.5,222
Alaró,7001,07001 Alaró,2010-09-01,0,29.2,29.2
Alaró,7001,07001 Alaró,2010-08-01,0,534.1,534.1
Alaró,7001,07001 Alaró,2010-07-01,156.7,351.7,195
Alaró,7001,07001 Alaró,2010-06-01,0,5853.9,5853.9
Alaró,7001,07001 Alaró,2010-05-01,94.4,1376.9,1282.5
Alaró,7001,07001 Alaró,2010-04-01,0,397,397
Alaró,7001,07001 Alaró,2010-03-01,0,116.4,116.4
Alaró,7001,07001 Alaró,2010-02-01,0,129.2,129.2
Alaró,7001,07001 Alaró,2010-01-01,0,969,969
Alaró,7001,07001 Alaró,2009-12-01,0,8.8,8.8
Alaró,7001,07001 Alaró,2009-11-01,0,929.7,222.2
Alaró,7001,07001 Alaró,2009-10-01,0,78.6,78.6
Alaró,7001,07001 Alaró,2009-09-01,0,188.2,188.2
Alaró,7001,07001 Alaró,2009-08-01,163.2,1100.4,937.2
Alaró,7001,07001 Alaró,2009-07-01,0,381.1,381.1
Alaró,7001,07001 Alaró,2009-06-01,30,144.9,114.9
Alaró,7001,07001 Alaró,2009-05-01,0,0,0
Alaró,7001,07001 Alaró,2009-04-01,153.8,522.9,369.1
Alaró,7001,07001 Alaró,2009-03-01,0,2144.6,875.2
Alaró,7001,07001 Alaró,2009-02-01,42.8,224.8,170
Alaró,7001,07001 Alaró,2009-01-01,139.8,150.9,11
Alaró,7001,07001 Alaró,2008-12-01,0,0,0
Alaró,7001,07001 Alaró,2008-11-01,17.3,862.6,845.3
Alaró,7001,07001 Alaró,2008-10-01,0,2281.9,2281.9
Alaró,7001,07001 Alaró,2008-09-01,0,185.4,185.4
Alaró,7001,07001 Alaró,2008-08-01,0,980,980
Alaró,7001,07001 Alaró,2008-07-01,0,88.3,88.3
Alaró,7001,07001 Alaró,2008-06-01,0,2378.6,2378.6
Alaró,7001,07001 Alaró,2008-05-01,0,691.7,691.7
Alaró,7001,07001 Alaró,2008-04-01,0,1604.8,1262.6
Alaró,7001,07001 Alaró,2008-03-01,0,997.9,997.9
Alaró,7001,07001 Alaró,2008-02-01,0,3145,3145
Alaró,7001,07001 Alaró,2008-01-01,0,837.1,837.1
Alaró,7001,07001 Alaró,2007-12-01,144.8,1071.3,926.5
Alaró,7001,07001 Alaró,2007-11-01,0,0,0
Alaró,7001,07001 Alaró,2007-10-01,0,254,254
Alaró,7001,07001 Alaró,2007-09-01,0,580,580
Alaró,7001,07001 Alaró,2007-08-01,0,1208,1208
Alaró,7001,07001 Alaró,2007-07-01,0,1139,1139
Alaró,7001,07001 Alaró,2007-06-01,0,715,715
Alaró,7001,07001 Alaró,2007-05-01,0,199,199
Alaró,7001,07001 Alaró,2007-04-01,0,914,914
Alaró,7001,07001 Alaró,2007-03-01,0,4496,4037
Alaró,7001,07001 Alaró,2007-02-01,0,781,781
Alaró,7001,07001 Alaró,2007-01-01,0,208,208
Alaró,7001,07001 Alaró,2006-12-01,889,1674,719
Alaró,7001,07001 Alaró,2006-11-01,0,81,81
Alaró,7001,07001 Alaró,2006-10-01,0,2886,2886
